Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Way Kanan,78.34,79.31,79.61,78.82,6,6,6,6,47.58,45.21,47.89,46.34,21224.06,18720.83,19986.05,25712.00,69.92,70.51,71.17,71.98,7.72,7.74,7.75,7.91,88.91,89.21,89.39,90.09,,,,,,,,,73.86,78.48,81.38,81.71,73.93,74.11,74.31,74.61,0.83,0.83,0.84,0.84,,,146,142,58.28,62.27,,65.57
,Tulangbawang,86.25,87.51,88.78,73.46,6,6,5,5,40.96,44.32,49.79,50.74,65510.84,72025.12,75344.09,75524.00,71.08,71.56,72.24,73.11,7.56,7.57,7.65,7.90,90.50,90.70,90.88,91.20,,,,,,,,,85.60,84.49,86.97,88.78,73.64,73.81,74.02,74.32,0.83,0.83,0.83,0.84,,,139,136,41.96,49.93,,52.66
,Pesawaran,77.86,77.89,80.85,72.62,6,6,5,5,55.89,52.89,52.91,51.85,23359.64,23009.98,21910.12,30348.00,68.55,69.46,70.24,70.90,7.77,7.99,8.00,8.01,88.13,88.48,88.84,89.14,,,,,,,,,86.20,88.73,87.85,88.57,73.65,73.80,74.00,74.30,0.83,0.83,0.83,0.84,,,122,128,57.40,62.58,,70.06
,Pringsewu,84.14,87.38,87.35,76.06,6,6,5,5,58.37,59.14,63.53,62.21,23489.05,21752.76,22651.01,24882.00,72.57,73.11,73.84,74.76,8.40,8.42,8.53,8.72,93.09,93.33,93.78,94.01,,,,,,,,,84.22,88.72,86.70,88.52,74.15,74.33,74.56,74.92,0.83,0.84,0.84,0.84,,,117,123,49.88,54.84,,67.04
,Mesuji,85.62,86.21,88.18,79.38,6,6,6,6,51.50,52.27,48.16,54.44,57654.90,56726.11,56395.22,51901.00,67.12,67.79,68.59,69.40,7.09,7.11,7.21,7.30,84.71,85.03,85.57,85.88,,,,,,,,,84.63,81.14,83.31,90.06,73.56,73.71,73.90,74.16,0.82,0.83,0.83,0.83,,,89,99,47.06,46.57,,48.10
,Tulang Bawang Barat,79.84,83.59,83.74,68.33,6,6,4,4,49.44,46.22,40.56,46.38,10254.68,9942.54,7282.52,11561.00,68.70,69.38,70.04,70.61,7.72,7.79,7.80,7.81,89.47,89.53,89.72,90.00,,,,,,,,,77.89,77.09,80.85,84.42,73.83,74.02,74.23,74.55,0.83,0.83,0.83,0.84,,,97,93,35.37,42.28,,47.90
,Pesisir Barat,71.71,76.32,75.77,74.41,5,6,5,5,50.98,55.36,46.54,53.02,11921.43,10860.16,11090.78,13582.00,69.58,70.40,71.04,71.72,8.53,8.70,8.73,8.76,94.47,94.86,95.18,95.32,,,,,,,,,77.74,79.23,84.09,89.93,73.61,73.75,73.93,74.21,0.82,0.83,0.83,0.83,,,59,59,66.21,63.86,,78.90
,Kota Bandar Lampung,73.41,83.37,84.64,71.44,6,6,5,5,55.37,51.19,51.20,53.43,491.63,477.44,530.53,630.00,79.33,79.86,80.46,81.26,10.96,10.97,10.99,11.11,94.72,94.85,94.98,95.39,,,,,,,,,89.07,92.85,89.33,89.66,74.33,74.53,74.79,75.21,0.84,0.84,0.84,0.85,,,262,259,64.52,64.91,,70.57
,Kota Metro,73.35,83.66,85.78,83.67,6,6,6,6,55.03,56.81,57.05,63.37,5323.92,5279.15,5154.43,4786.00,79.38,79.85,80.41,81.22,10.98,11.00,11.01,11.19,96.80,96.89,96.94,96.95,,,,,,,,,98.77,98.89,99.68,87.29,74.92,75.14,75.43,75.86,0.84,0.85,0.85,0.86,,,54,56,85.90,92.97,,90.95
Bangka Belitung,Bangka,80.26,81.31,74.35,83.91,6,6,6,6,31.70,32.26,26.56,26.69,1442.92,1269.93,1861.67,2979.00,73.62,74.34,74.66,75.38,8.27,8.32,8.45,8.77,88.95,89.33,89.23,89.36,97.22,97.66,98.31,98.99,75.07,75.50,78.41,71.48,94.18,97.26,96.23,97.59,72.80,73.03,73.24,73.56,0.81,0.82,0.82,0.82,,,86,97,69.34,66.53,,77.03
,Belitung,61.55,61.83,62.34,75.33,4,4,5,5,24.30,23.89,22.08,23.23,332.09,293.57,316.87,236.00,73.83,74.49,74.96,75.29,8.74,8.98,9.05,9.11,88.87,89.25,89.75,90.12,98.09,98.08,98.40,93.75,79.54,79.47,80.10,71.63,92.69,92.62,94.17,95.50,72.27,72.52,72.76,73.13,0.80,0.81,0.81,0.82,,,64,69,85.17,87.79,,88.67
,Bangka Barat,75.05,63.76,60.25,76.94,5,4,5,5,28.23,29.77,21.66,28.00,762.48,657.26,1947.95,2867.00,70.79,71.13,71.36,72.23,7.46,7.47,7.48,7.80,90.27,90.41,90.42,91.06,98.64,98.41,99.39,97.99,68.94,76.50,73.52,72.35,91.02,90.87,91.88,96.50,71.72,71.91,72.08,72.35,0.80,0.80,0.80,0.81,,,45,48,68.29,96.44,,97.43
,Bangka Tengah,57.97,58.62,60.38,75.62,3,3,5,5,27.60,35.19,40.14,42.29,112.36,112.36,121.08,151.00,72.06,72.36,72.54,73.10,7.22,7.23,7.24,7.33,92.03,92.19,92.34,92.83,99.04,99.15,98.98,97.71,71.21,77.41,75.53,75.54,93.79,92.97,94.91,97.75,73.26,73.54,73.77,74.11,0.82,0.82,0.83,0.83,,,40,40,60.50,69.88,,81.10
,Bangka Selatan,83.38,82.94,84.87,75.74,6,6,5,5,44.42,46.73,49.49,48.49,11749.11,12322.42,13140.44,9222.00,69.12,69.67,70.01,70.83,6.89,6.91,6.93,7.25,84.83,84.85,85.29,85.98,98.38,98.53,98.30,98.36,74.90,75.01,77.22,68.46,86.48,89.27,91.14,92.56,71.24,71.51,71.74,72.07,0.79,0.79,0.80,0.80,,,56,58,46.13,50.02,,72.69
,Belitung Timur,60.50,62.09,62.02,76.11,4,4,5,5,19.60,27.54,25.91,29.10,708.84,629.02,814.55,831.00,72.76,73.31,73.62,73.99,8.67,8.90,8.99,9.03,87.20,87.55,88.02,88.56,98.46,98.70,98.75,94.32,82.59,76.84,77.17,81.16,89.92,90.03,91.50,94.44,73.36,73.57,73.79,74.12,0.82,0.82,0.83,0.83,,,53,47,84.54,87.09,,90.16
,Kota Pangkal Pinang,83.25,87.42,87.27,79.07,6,6,6,6,-,-,-,-,–,–,–,–,79.77,80.45,80.90,81.64,10.27,10.50,10.67,10.90,94.25,94.14,94.43,95.29,96.90,96.87,96.46,94.12,76.65,78.71,80.62,83.25,91.47,95.35,96.96,99.11,74.76,75.01,75.26,75.64,0.84,0.85,0.85,0.86,,,83,85,76.17,77.71,,88.23
Kepulauan Riau,Karimun,58.76,62.97,62.68,63.34,3,4,4,4,-,21.35,-,-,-,1.41,–,-,73.96,74.70,75.49,76.08,9.33,9.18,9.26,9.06,91.77,92.05,92.39,93.08,,,,,,,,,97.01,96.85,95.91,,74.37,74.58,74.79,75.05,0.84,0.84,0.84,0.85,,,74,81,63.07,74.53,,
,Bintan,57.68,59.58,60.42,73.15,3,3,5,5,28.34,21.27,26.80,30.44,8.95,5.37,16.11,20.00,76.80,77.50,77.96,78.65,9.58,9.72,9.61,9.45,94.45,94.78,94.90,94.91,,,,,,,,,87.64,86.74,87.93,,74.52,74.82,74.89,75.21,0.84,0.84,0.84,0.85,,,58,52,69.23,71.36,,
,Natuna,57.86,59.15,60.51,71.52,3,3,5,5,29.19,28.03,26.80,33.09,98.44,54.11,68.69,145.00,77.59,78.23,78.60,78.94,9.41,9.42,9.72,9.25,92.44,92.76,92.58,93.12,,,,,,,,,76.45,76.56,78.98,,73.90,74.15,74.38,74.77,0.83,0.83,0.84,0.84,,,64,61,89.61,94.67,,
,Lingga,58.43,52.41,53.02,68.03,3,3,4,4,26.34,30.70,27.77,28.40,44.84,33.71,21.95,39.00,71.48,72.23,73.05,73.82,7.99,7.91,7.97,7.87,90.83,91.25,91.75,92.03,,,,,,,,,65.51,70.13,69.58,,73.12,73.45,73.76,74.04,0.82,0.82,0.83,0.83,,,56,53,80.87,85.40,,
,Kepulauan Anambas,54.19,55.72,55.34,66.33,3,3,4,4,27.94,26.34,25.67,30.45,27.25,20.67,6.58,12.00,72.15,72.80,73.47,74.07,8.66,8.45,8.88,7.79,91.33,91.58,92.02,92.16,,,,,,,,,29.07,30.46,26.55,,73.13,73.50,73.77,74.05,0.82,0.82,0.83,0.83,,,65,65,93.79,95.20,,
,Kota Batam,85.23,88.10,88.83,74.55,6,6,5,5,-,-,-,-,-,–,–,-,82.25,82.64,83.32,83.80,10.94,11.01,11.19,11.34,95.62,95.95,96.66,96.96,,,,,,,,,89.20,94.45,94.10,,74.78,74.98,75.19,75.54,0.84,0.85,0.85,0.85,,,153,178,65.56,76.54,,
,Kota Tanjung Pinang,74.67,77.75,83.22,69.76,6,6,5,5,-,-,-,-,-,–,–,-,80.58,81.14,81.58,82.02,10.83,10.89,10.73,10.80,97.88,97.58,97.63,97.67,,,,,,,,,91.71,92.69,91.51,,74.37,74.68,74.91,75.27,0.84,0.84,0.84,0.85,,,48,52,79.55,80.27,,
DKI Jakarta,Kep. Seribu,54.18,56.63,58.05,63.73,3,3,4,4,-,-,-,-,-,–,–,-,75.34,75.91,76.69,77.52,9.02,9.03,9.26,9.27,93.69,93.60,93.62,94.86,99.77,,,,79.40,,,,85.66,82.55,89.10,,74.54,74.89,75.03,75.24,0.84,0.84,0.85,0.85,,,9,7,101.04,99.59,,
,Kota Jakarta Selatan,85.38,88.64,90.52,73.06,6,6,5,5,-,-,-,-,-,–,–,-,85.87,86.71,87.57,88.51,11.66,11.75,11.95,12.06,96.48,97.16,97.30,99.26,98.71,,,,83.36,,,,95.45,94.46,92.61,,75.77,76.02,76.23,76.55,0.86,0.86,0.87,0.87,,,235,272,87.08,87.14,,
,Kota Jakarta Timur,84.56,90.21,91.81,72.97,6,6,5,5,55.88,55.32,56.05,54.81,34.00,45.4,28.31,25.00,83.60,84.26,84.76,85.51,11.73,11.88,11.99,12.01,95.92,95.98,95.90,97.11,98.71,,,,87.00,,,,94.32,94.19,97.15,,75.12,75.37,75.59,75.93,0.85,0.85,0.86,0.86,,,233,264,84.48,88.34,,
,Kota Jakarta Pusat,83.56,91.00,91.63,70.74,6,6,5,5,-,-,-,-,-,–,–,-,82.90,83.29,83.75,84.45,11.53,11.54,11.61,11.62,96.41,96.28,96.24,98.10,97.60,,,,81.22,,,,92.35,93.09,90.30,,76.07,76.34,76.57,76.91,0.86,0.87,0.87,0.88,,,138,149,86.51,94.38,,
,Kota Jakarta Barat,84.67,90.84,91.35,71.25,6,6,5,5,47.88,50.74,51.65,54.80,38.00,36.33,27.25,55.00,83.43,83.85,84.40,85.18,11.13,11.23,11.24,11.25,95.39,95.39,95.66,97.10,99.56,,,,85.98,,,,91.65,93.96,94.94,,75.62,75.81,75.98,76.23,0.86,0.86,0.86,0.87,,,186,195,87.32,86.99,,
,Kota Jakarta Utara,77.15,85.46,87.42,68.09,6,6,4,4,48.52,48.54,45.33,54.20,406.00,461.2,442.75,194.00,81.56,81.85,82.13,83.12,10.82,10.84,10.85,11.08,93.84,94.03,94.43,95.85,96.16,,,,79.13,,,,88.92,90.96,91.39,,74.96,75.07,75.17,75.32,0.85,0.85,0.85,0.85,,,119,131,82.18,89.48,,
Jawa Barat,Bogor,68.61,70.57,70.01,76.36,5,5,5,5,53.55,55.54,59.73,58.15,56002.23,50999.48,50168.52,59502.00,72.45,73.02,73.63,74.53,8.82,8.86,8.89,8.72,90.70,90.93,90.98,90.94,95.92,96.12,97.48,,84.43,81.52,85.01,,73.47,71.49,67.18,67.17,74.42,74.67,74.90,75.23,0.84,0.84,0.84,0.85,,,650,682,57.43,59.93,72.97,74.24
,Sukabumi,77.29,77.65,78.59,78.68,6,6,6,6,53.49,54.59,57.20,53.89,95012.99,93866.34,81612.3,122485.00,68.87,69.71,70.18,71.13,7.69,7.84,7.75,7.63,88.29,89.02,89.38,89.49,99.96,99.49,99.99,,82.20,82.37,82.66,,63.32,53.21,51.90,59.25,74.40,74.65,74.85,75.12,0.84,0.84,0.84,0.85,,,439,450,51.19,62.38,64.44,63.95
,Cianjur,75.82,78.99,80.60,78.58,6,6,6,6,53.33,56.17,59.91,58.24,115877.18,115749.72,105305.7,137496.00,67.55,68.18,68.89,69.84,7.47,7.38,7.91,7.62,85.56,85.88,86.22,86.48,100.00,99.62,99.84,,80.87,78.40,79.10,,61.76,63.83,63.30,61.11,74.37,74.61,74.80,75.05,0.84,0.84,0.84,0.85,,,351,378,46.53,44.66,49.50,48.89
,Bandung,80.33,82.48,80.63,76.64,6,6,5,5,60.84,60.80,64.33,63.26,47537.79,49366.27,51947.62,55849.00,73.46,74.03,74.59,75.58,9.34,9.36,9.45,9.40,94.71,94.80,95.10,95.26,99.99,99.70,99.74,,88.07,85.00,85.75,,70.85,66.67,69.12,70.40,74.67,74.92,75.23,75.70,0.84,0.84,0.85,0.86,,,438,438,53.59,57.31,64.47,68.31
,Garut,74.49,78.04,78.99,79.10,5,6,6,6,58.11,60.88,63.51,59.09,75951.04,74538.34,71635.66,94041.00,68.51,69.22,69.91,70.67,8.36,8.25,8.31,7.86,83.37,84.05,84.24,84.62,97.18,97.97,98.40,,83.28,79.90,81.14,,51.90,54.68,49.99,53.35,74.43,74.66,74.87,75.14,0.84,0.84,0.84,0.85,,,467,491,41.83,47.19,51.52,54.72
,Tasikmalaya,75.88,75.68,78.47,71.14,6,6,5,5,53.00,56.16,53.29,53.82,81310.17,69685.72,66324.47,97519.00,68.45,69.38,69.98,70.76,8.25,8.31,8.32,7.98,87.01,87.47,87.64,87.90,99.97,99.79,98.64,,90.07,86.42,88.60,,54.39,51.33,54.68,58.76,73.64,73.87,74.06,74.37,0.83,0.83,0.83,0.84,,,376,385,39.30,44.83,47.65,57.29
,Ciamis,82.54,82.36,83.20,71.67,6,6,5,5,54.74,55.42,53.32,56.58,55844.25,53976.46,44307.13,58549.00,72.52,73.12,73.64,74.33,8.42,8.45,8.33,8.23,87.86,88.01,88.29,89.11,99.95,99.49,98.55,,87.09,89.83,89.67,,75.50,71.38,77.12,75.84,74.69,74.96,75.26,75.69,0.84,0.85,0.85,0.86,,,274,302,56.26,58.54,66.84,68.45
,Kuningan,80.24,80.95,81.43,67.98,6,6,4,4,57.53,58.24,53.81,51.73,48250.13,44815.65,41522.97,48264.00,70.44,70.99,71.56,72.31,8.42,8.23,8.18,7.91,87.65,87.79,88.00,88.70,99.99,99.78,98.52,,79.63,83.64,81.30,,69.29,83.03,84.64,89.38,74.67,74.91,75.22,75.64,0.84,0.84,0.85,0.86,,,250,254,68.36,69.68,75.08,76.26
,Cirebon,79.20,82.03,82.77,73.17,6,6,5,5,58.27,59.89,60.45,60.56,84892.18,82797.11,84465.74,93883.00,70.92,71.81,72.30,73.27,8.23,8.30,8.06,7.88,84.69,84.96,85.43,85.91,96.59,97.08,97.75,,80.81,83.08,83.77,,86.76,89.02,87.92,90.78,74.43,74.71,74.98,75.39,0.84,0.84,0.85,0.85,,,442,459,64.28,67.75,74.09,76.48
,Majalengka,79.44,81.39,82.58,71.80,6,6,5,5,56.08,55.77,55.50,55.18,100950.53,100124.09,87220.48,89930.00,70.18,70.76,71.37,72.37,8.07,7.95,7.99,7.81,87.39,87.84,87.98,88.52,97.03,96.75,97.36,,81.16,75.70,76.91,,81.26,82.67,83.61,81.85,74.44,74.73,74.98,75.32,0.84,0.84,0.85,0.85,,,280,278,47.56,54.29,68.83,73.72
,Sumedang,83.12,84.88,86.88,79.18,6,6,6,6,52.62,53.64,55.00,53.45,56662.01,53525.51,49430.79,55012.00,73.53,74.02,74.57,75.50,9.09,9.00,8.86,8.92,95.99,96.13,96.22,96.19,96.84,96.80,97.78,,89.03,83.23,80.71,,80.59,72.55,77.32,86.77,74.77,75.04,75.29,75.70,0.84,0.85,0.85,0.86,,,244,252,55.96,65.04,72.15,75.67
,Indramayu,84.64,84.52,86.52,76.19,6,6,5,5,60.42,61.80,65.74,66.11,245329.29,230456.96,212866.19,239498.00,69.52,70.19,70.72,71.58,7.76,7.51,7.45,7.06,88.89,89.51,89.78,90.15,99.97,99.17,99.82,,79.54,78.83,75.95,,86.64,95.90,97.27,93.41,74.39,74.61,74.82,75.16,0.84,0.84,0.84,0.85,,,320,324,48.45,57.48,61.67,72.94
,Subang,83.52,85.31,85.65,74.51,6,6,5,5,58.36,58.77,59.12,59.40,177986.35,174864.99,163881.64,184319.00,70.54,71.42,72.05,73.00,7.82,8.00,7.88,7.68,91.74,91.92,92.11,92.14,97.73,97.85,98.12,,80.13,83.65,84.76,,80.02,89.40,90.29,90.56,74.46,74.87,75.08,75.41,0.84,0.84,0.85,0.85,,,318,333,45.32,51.25,56.93,64.88
,Purwakarta,78.75,80.42,80.19,74.44,6,6,5,5,54.87,58.50,58.90,56.42,34396.95,31884.84,30629.17,33459.00,72.89,73.43,73.99,74.97,8.41,8.36,8.40,8.37,87.63,87.80,87.96,88.51,99.96,99.70,98.46,,72.98,87.11,87.09,,82.46,77.33,83.01,74.37,74.40,74.67,74.92,75.28,0.84,0.84,0.84,0.85,,,188,197,56.18,68.49,74.80,75.52
,Karawang,86.03,88.48,89.04,76.74,6,6,5,5,60.05,59.87,56.89,59.06,204326.26,189064.62,183065.46,202293.00,72.64,73.25,73.82,74.59,8.39,8.50,8.54,8.31,91.32,91.85,91.98,92.35,99.99,99.70,99.71,,82.77,79.30,80.70,,85.10,83.02,85.99,86.79,74.63,74.90,75.16,75.57,0.84,0.84,0.85,0.85,,,445,463,65.13,67.47,73.68,79.67
,Bekasi,86.15,88.05,87.48,77.14,6,6,5,5,53.91,53.28,49.46,51.28,103088.97,93338.02,84199.55,97547.00,75.60,76.13,76.80,77.80,9.84,9.87,10.19,10.07,90.30,90.06,90.18,90.41,97.58,97.50,97.43,,81.83,84.24,85.88,,89.99,91.54,89.16,90.24,74.86,75.09,75.33,75.71,0.84,0.85,0.85,0.86,,,417,423,41.65,78.62,85.02,87.80
,Bandung Barat,71.59,74.19,75.79,69.50,5,5,4,4,52.62,53.62,53.98,58.12,29201.93,26709.13,27566.67,37006.00,69.82,70.33,70.77,71.65,8.49,8.41,8.57,8.34,80.41,80.96,81.59,81.98,97.91,97.87,98.61,,75.87,88.60,91.39,,50.96,56.93,54.02,55.95,74.59,74.78,75.06,75.44,0.84,0.84,0.85,0.85,,,242,252,47.25,50.49,59.07,63.54
,Pangandaran,81.12,83.57,83.86,78.58,6,6,6,6,49.37,46.05,48.98,52.82,30115.90,30250.9,24131.55,30469.00,70.21,70.57,71.03,71.66,8.47,8.37,8.47,8.11,91.01,90.83,91.22,91.42,99.99,99.49,97.57,,84.63,87.83,85.47,,83.00,86.91,90.30,93.02,74.60,74.88,75.11,75.45,0.84,0.84,0.85,0.85,,,111,115,5.38,75.91,82.42,87.00
,Kota Bogor,76.38,83.78,85.53,62.68,6,6,4,4,54.02,47.99,53.05,57.23,32.21,25.76,28.35,141.00,77.68,78.36,79.03,79.75,10.72,10.62,10.79,10.72,91.98,92.19,92.34,92.77,99.95,99.59,98.48,,76.16,87.68,88.43,,67.93,74.36,71.49,74.41,75.21,75.52,75.80,76.25,0.85,0.85,0.86,0.87,,,173,192,73.97,84.40,87.89,91.07
,Kota Sukabumi,68.96,79.08,80.90,78.91,5,6,6,6,60.91,59.96,58.58,58.19,2176.04,2699.69,2337.35,2721.00,76.24,77.16,77.69,78.23,10.41,10.45,10.44,10.39,92.67,93.04,93.24,93.35,99.98,99.67,99.82,,82.96,82.56,85.38,,45.80,44.76,45.88,46.61,74.64,74.89,75.11,75.45,0.84,0.84,0.85,0.85,,,79,85,65.14,68.29,78.09,76.67
,Kota Bandung,80.23,90.46,91.55,74.43,6,6,5,5,72.21,70.19,69.59,69.06,995.22,901.17,940.85,1010.00,82.75,83.29,83.75,84.06,11.01,11.09,11.05,11.41,95.39,95.24,95.38,95.90,97.18,97.32,97.84,,81.82,87.05,90.00,,49.85,56.01,55.90,56.50,75.26,75.53,75.83,76.30,0.85,0.85,0.86,0.87,,,373,399,72.35,74.35,81.04,80.77
,Kota Cirebon,70.28,83.77,83.78,65.79,5,6,4,4,53.93,56.12,63.94,54.05,159.80,137.1,99.81,125.00,76.89,77.45,78.09,78.99,10.46,10.47,10.66,10.54,95.87,96.37,96.59,96.92,95.58,95.42,97.75,,69.93,82.56,83.50,,90.62,93.27,95.38,92.67,74.87,75.17,75.48,75.97,0.84,0.85,0.85,0.86,,,76,82,80.43,88.52,93.68,93.90
,Kota Bekasi,86.79,93.55,93.90,73.07,6,6,5,5,41.15,42.90,42.86,48.81,454.07,306.86,282.68,184.00,82.52,83.06,83.55,84.43,11.75,11.74,11.90,12.11,94.15,94.28,94.28,94.59,99.97,99.66,99.68,,86.37,89.16,90.33,,90.80,98.52,99.08,97.93,75.60,75.86,76.14,76.61,0.86,0.86,0.86,0.87,,,194,225,63.83,80.62,85.24,88.25
,Kota Depok,85.07,89.47,89.81,70.63,6,6,5,5,49.57,52.42,56.24,53.69,14.55,5.82,5.82,10.00,82.02,82.53,83.05,84.04,11.48,11.55,11.58,11.83,93.92,94.03,94.26,94.41,95.86,95.82,97.35,,79.55,84.29,81.18,,96.21,97.43,98.76,97.68,75.24,75.53,75.82,76.30,0.85,0.85,0.86,0.87,,,177,200,76.17,80.33,83.46,86.13
,Kota Cimahi,80.08,87.17,88.68,74.62,6,6,5,5,56.73,57.50,61.38,59.33,59.59,76.61,70.93,97.00,79.01,79.69,80.30,80.85,11.19,11.33,11.47,11.53,92.51,92.54,92.78,93.20,99.90,99.45,99.31,,80.79,86.73,86.43,,77.18,76.37,76.44,79.18,74.99,75.27,75.55,76.00,0.85,0.85,0.85,0.86,,,48,54,72.91,73.53,83.34,85.11
,Kota Tasikmalaya,55.38,72.71,74.37,78.10,4,6,6,6,55.35,50.83,54.19,59.25,9797.97,7863.88,6532.64,8571.00,74.84,75.47,76.03,76.59,9.69,9.72,9.86,9.64,92.79,92.96,92.98,93.41,97.86,97.94,97.22,,84.13,84.71,87.22,,52.62,56.25,53.16,56.37,74.80,75.08,75.31,75.66,0.84,0.85,0.85,0.86,,,139,147,58.10,66.37,73.80,74.99
,Kota Banjar,61.91,79.55,78.92,84.03,5,6,6,6,52.31,56.69,60.46,59.78,5978.36,5625.24,4782.04,5321.00,73.93,74.45,75.01,75.54,9.17,8.99,9.15,8.84,88.39,88.62,88.93,89.53,99.98,99.29,99.04,,87.02,83.96,89.54,,88.26,89.06,91.07,93.02,74.48,74.77,74.99,75.35,0.84,0.84,0.85,0.85,,,46,47,46.60,64.74,72.41,85.40
Jawa Tengah,Cilacap,83.23,84.13,84.69,68.55,6,6,4,4,62.32,64.52,52.80,53.74,122167.29,119730.72,106346.75,51735.00,71.22,72.04,72.55,73.45,7.18,7.39,7.40,7.65,87.45,87.78,87.82,88.22,99.98,99.76,99.45,96.98,85.44,83.69,82.53,82.90,79.10,80.38,83.25,87.60,74.59,74.73,74.97,75.30,0.84,0.84,0.85,0.85,,,316,327,56.43,59.49,61.43,65.65
,Banyumas,79.02,79.81,80.74,70.86,6,6,5,5,52.83,54.59,54.70,52.81,52167.75,51330.54,45113.99,26909.00,73.30,73.96,74.52,75.44,7.78,7.87,7.91,8.10,89.44,89.47,89.64,90.01,99.96,99.62,99.4,94.32,81.22,82.38,79.76,85.71,79.80,83.00,83.25,85.71,74.16,74.20,74.34,74.79,0.83,0.83,0.84,0.84,,,355,386,77.56,72.98,78.27,77.28
,Purbalingga,79.25,78.05,78.47,75.19,6,6,5,5,53.06,53.68,56.90,54.53,29039.68,26110.28,25308.33,18004.00,69.80,70.51,70.97,71.71,7.33,7.34,7.36,7.37,93.47,93.79,93.92,94.34,93.7,93.98,96.01,94.41,80.32,82.13,82.99,74.45,78.56,77.19,82.01,77.73,73.89,73.98,74.19,74.48,0.83,0.83,0.83,0.84,,,162,171,71.09,72.11,78.82,74.46
,Banjarnegara,78.61,80.28,79.40,71.28,6,6,5,5,55.80,52.09,51.78,54.65,19542.41,18552.34,18116.88,75456.00,68.62,69.16,69.62,70.61,6.84,6.86,6.87,7.10,95.15,95.09,95.11,95.15,99.96,99.48,98.82,99.03,79.19,82.47,81.27,83.55,51.66,46.09,52.40,52.44,74.40,74.50,74.70,74.86,0.84,0.84,0.84,0.84,,,153,163,56.76,52.44,57.16,61.17
,Kebumen,79.29,80.34,81.21,72.06,6,6,5,5,56.34,53.52,53.87,55.64,75408.34,75547.03,72338.28,55815.00,71.29,71.88,72.48,73.17,7.85,7.86,7.87,7.89,93.20,93.38,93.39,93.60,99.67,99.74,99.00,97.27,80.84,80.61,80.42,83.96,93.49,93.68,93.43,94.04,74.85,74.98,75.22,75.56,0.84,0.85,0.85,0.85,,,256,265,72.35,69.18,70.65,72.76
,Purworejo,84.48,84.74,86.22,70.24,6,6,5,5,54.78,56.24,49.84,49.81,50953.04,51160.94,51878.07,12351.00,73.67,74.35,75.16,75.93,8.32,8.46,8.65,8.74,95.57,95.38,95.24,95.58,99.99,99.69,99.65,97.40,78.60,84.60,83.66,84.44,80.21,81.43,84.64,87.29,75.20,75.37,75.64,76.06,0.85,0.85,0.86,0.86,,,178,189,65.32,66.77,69.28,71.11
,Wonosobo,78.42,77.82,77.87,69.43,6,6,4,4,50.20,48.22,50.70,50.36,13346.92,12578.2,11936.39,32669.00,69.69,70.18,70.63,71.50,6.88,6.89,6.90,6.91,92.64,92.85,92.94,93.22,97.92,97.91,97.39,97.99,77.95,81.63,79.01,84.30,55.30,58.14,63.81,62.58,73.89,74.01,74.25,74.56,0.83,0.83,0.83,0.84,,,144,142,64.89,61.35,61.61,62.67
,Magelang,79.44,79.91,80.20,73.41,6,6,5,5,52.96,51.21,55.70,55.12,31929.17,31381.63,29938.09,44501.00,70.96,71.56,72.10,73.09,7.81,7.82,7.83,8.04,92.56,92.91,92.93,93.31,97.56,97.75,97.35,97.60,79.94,80.12,80.55,84.56,80.49,85.14,83.77,80.94,74.28,74.44,74.68,74.93,0.84,0.84,0.84,0.85,,,207,223,62.97,61.44,65.55,67.31
,Boyolali,85.26,87.31,87.70,70.67,6,6,5,5,57.35,55.61,56.23,53.22,51247.81,49819.29,50261.49,61841.00,74.97,75.41,75.96,76.95,8.08,8.09,8.17,8.41,94.35,94.67,94.76,94.90,96.07,96.60,97.11,97.26,82.84,82.97,83.77,85.76,92.40,89.31,88.26,89.00,76.12,76.23,76.44,76.76,0.86,0.87,0.87,0.87,,,188,197,66.57,65.83,70.55,72.46
,Klaten,84.13,85.50,85.64,71.98,6,6,5,5,53.13,54.97,75.32,66.81,63639.10,64377.47,54219.39,43504.00,76.95,77.59,78.16,78.68,9.09,9.27,9.29,9.30,96.10,95.78,95.99,96.35,95.55,97.61,97.67,98.33,82.80,79.50,79.38,80.24,95.00,97.16,97.86,95.78,76.95,77.07,77.31,77.69,0.88,0.88,0.88,0.89,,,342,335,77.61,77.22,78.33,85.27
,Sukoharjo,89.11,91.02,90.93,74.12,6,6,5,5,64.41,70.27,52.76,52.29,47901.05,49628.07,42440.52,68762.00,77.94,78.65,79.30,79.90,9.62,9.84,10.01,10.02,96.96,97.32,97.87,98.08,99.82,99.67,98.85,96.87,82.00,78.27,79.94,85.40,96.14,95.68,97.08,96.27,77.82,77.86,78.01,78.21,0.89,0.89,0.89,0.90,,,219,237,71.32,73.60,74.02,79.72
